date_COVID,state,positive,negative,pending,hospitalized,death,total,Most_Recent_Date,Data_asof
2020-05-17,IL,94191,487753,,,4177,581944,Old_Data,2020-05-18
2020-05-17,IN,27778,149465,,4389,1751,177243,Old_Data,2020-05-18
2020-05-17,KS,7886,53706,,724,172,61592,Old_Data,2020-05-18
2020-05-17,KY,7688,121997,,1896,334,129685,Old_Data,2020-05-18
2020-05-17,LA,34432,230738,,,2491,265170,Old_Data,2020-05-18
2020-05-17,MA,86010,374816,,8539,5797,460826,Old_Data,2020-05-18
2020-05-17,MD,38804,156122,,6993,1992,194926,Old_Data,2020-05-18
2020-05-17,ME,1687,22092,,216,70,23779,Old_Data,2020-05-18
2020-05-17,MI,51142,345816,,,4891,396958,Old_Data,2020-05-18
2020-05-17,MN,15668,134917,,2090,731,150585,Old_Data,2020-05-18
2020-05-17,MO,10789,135466,,,594,146255,Old_Data,2020-05-18
2020-05-17,MP,21,3318,,,2,3339,Old_Data,2020-05-18
2020-05-17,MS,11296,101830,,1773,521,113126,Old_Data,2020-05-18
2020-05-17,MT,468,26417,,63,16,26885,Old_Data,2020-05-18
2020-05-17,NC,18512,230432,,,659,248944,Old_Data,2020-05-18
2020-05-17,ND,1900,53321,,130,43,55221,Old_Data,2020-05-18
2020-05-17,NE,10220,55420,,,123,65640,Old_Data,2020-05-18
2020-05-17,NH,3556,41196,1216,347,171,45968,Old_Data,2020-05-18
2020-05-17,NJ,146334,341231,,,10356,487565,Old_Data,2020-05-18
2020-05-17,NM,5857,122727,,886,259,128584,Old_Data,2020-05-18
2020-05-17,NV,6857,73780,,,349,80637,Old_Data,2020-05-18
2020-05-17,NY,350121,1063275,,75525,22619,1413396,Old_Data,2020-05-18
2020-05-17,OH,27923,236539,,4921,1625,264462,Old_Data,2020-05-18
2020-05-17,OK,5310,118162,,880,288,123472,Old_Data,2020-05-18
2020-05-17,OR,3623,90733,,703,137,94356,Old_Data,2020-05-18
2020-05-17,PA,62234,270670,,,4418,332904,Old_Data,2020-05-18
2020-05-17,PR,2646,,,,123,2646,Old_Data,2020-05-18
2020-05-17,RI,12674,99876,,1418,499,112550,Old_Data,2020-05-18
2020-05-17,SC,8661,111670,,1421,380,120331,Old_Data,2020-05-18
2020-05-17,SD,3987,24572,,312,44,28559,Old_Data,2020-05-18
2020-05-17,TN,17388,307892,,1482,298,325280,Old_Data,2020-05-18
2020-05-17,TX,47784,645492,,,1336,693276,Old_Data,2020-05-18
2020-05-17,UT,7238,163514,,586,80,170752,Old_Data,2020-05-18
2020-05-17,VA,30388,159973,527,5517,1009,190888,Old_Data,2020-05-18
2020-05-17,VI,69,1278,45,,6,1392,Old_Data,2020-05-18
2020-05-17,VT,940,21342,,,54,22282,Old_Data,2020-05-18
2020-05-17,WA,18590,270477,,,1000,289067,Old_Data,2020-05-18
